deviceQuery, CUDA Driver = CUDART, CUDA Driver Version = 4.10, CUDA Runtime Version = 3.20, NumDevs = 1, Device = GeForce GTS 250
deviceQuery, CUDA Driver = CUDART, CUDA Driver Version = 4.10, CUDA Runtime Version = 3.20, NumDevs = 1, Device = GeForce GTS 250
deviceQuery, CUDA Driver = CUDART, CUDA Driver Version = 4.10, CUDA Runtime Version = 3.20, NumDevs = 1, Device = GeForce GTS 250
